betray	trahir, dénoncer
exhausted	épuisé, éreinté, exténué, harassé, fourbu, éreinté, exténué
fashionable	chic, à la mode
prototype	prototype
misery	grande tristesse, misère
regeneration	régénération, revitalisation, repousse
old-fashioned	démodé
intellect	intelligence, intellect, grand esprit
choir	chœur, chorale
mist	larmes, vaporiser, bruiner, buée, fines gouttes, fines gouttelettes, brume, se brouiller
swamp	submerger  (de ), surcharger  (de ), inonder, submerger, marais, submerger  de, submerger
secular	profane, laïque
microwave	cuire au micro-ondes, micro-onde, micro-ondes
temptation	tentation
assertion	affirmation, assertion, revendication
asylum	asile
bracket	mettre entre parenthèses, crochet, parenthèse, tranche, tableau
bundle	empaqueter, paquet, offre groupée
pyramid	pyramide
pigeon	pigeon
globe	globe, globe (terrestre), le monde
bark	mendiant, écorce, aboiement, aboyer
diplomat	diplomate
amazed	étonné, stupéfait, ébahi
heir	héritier, héritière
likes	vouloir, désirer, genre, aimer bien, comme, aimer beaucoup, aimer, aimer (bien) faire
default	ne pas s'acquitter d'une dette, non-comparution, défaut de paiement, inaction, ne pas payer, ne pas rembourser, par défaut, valeur par défaut
urgency	urgence
cocktail	cocktail
daylight	journée, lumière du jour, matin
Norwegian	Norvégien, Norvégienne, norvégien, norvégienne, norvégien
pussy	chatte, minou, fillette
financing	financement
static	électricité statique, statique
cruelty	cruauté, insensibilité
urgently	avec insistance, d'urgence
printed	imprimé
spatial	spatial
arc	décrire un arc, arc
discard	rejeter, abandonner, laisser tomber, jeter
correction	correction
cleaner	plus propre, homme de ménage, femme de ménage, nettoyant, détachant
compartment	compartiment
antique	d'antiquités, objet ancien, ancien, ancienne, antique
loser	raté, ratée, perdant, perdante
Iceland	Islande
bloody	fichu, foutu, satané, maudit, sanglant, saignant, -, faire saigner, couvrir de sang, super
torch	torche, lampe de poche, chalumeau, cramer
giraffe	girafe
lengthy	très long, trop long, long, longue
excessive	excès de , excédent de, excessif, excessive
strive	s'efforcer de faire, faire des efforts, faire tout son possible
collaborate	collaborer
communism	communisme
hen	poule
demonstrator	démonstrateur, démonstratrice, manifestant, manifestante
disco	disco, discothèque, boum
graphic	vivant, graphique, image, illustration, arts graphiques, explicite, graphismes
paw	tripoter, peloter, patte, donner un coup de patte à
sceptical	sceptique
designate	marquer, désigner, nommer, indiquer, dénoter
disruption	perturbation, interruption
hostility	hostilité, hostilités
lottery	loterie
mailing	mailing, postal
referral	renvoi juridique, envoyer  vers un spécialiste, adresser  à un spécialiste, personne référée, personne envoyée (vers )
thorn	épine
optional	optionnel, optionnelle, en option
emperor	saturnie, empereur
rotate	tourner, alterner, faire tourner
transit	passage, de transport, en transit, transport, transports en commun, transit, traversée
terminate	mettre fin à
postpone	reporter le fait de faire , remettre à plus tard le fait de faire, reporter, remettre à plus tard
sidewalk	trottoir
adequately	suffisamment, correctement, convenablement
heart attack	crise cardiaque
intensify	s'intensifier, intensifier, renforcer, forcir, accentuer, exacerber, intensifier
nucleus	noyau
openly	franchement, publiquement
warehouse	entrepôt, magasin
adverse	contraire, négatif, négative
salmon	rose saumon, saumon
literacy	lire et écrire
understandable	compréhensible
wardrobe	garde-robe, armoire, penderie, garde-robe
apparatus	appareil, équipement, instrument, dispositif, mécanisme
deed	acte notarié, acte de propriété, acte
immune	immunisé, immunitaire, exonéré, exonéré de, à l'abri de, immunisé contre
bride	mariée
fringe	frange, périphérie, bordure, la marge de, extrêmes, partis d'extrême-gauche et d'extrême-droite
mathematical	mathématique
hail	grêle, héler, déluge (de ), grêler
template	gabarit
computing	informatique
risky	risqué
exotic	exotique
injured	blessé, les blessés
delightful	agréable, charmant
revive	ranimer, réanimer, relancer, raviver, revigorer, se remettre, se rependre
sibling	frère ou sœur
soak	faire tremper, tremper
advisory	alerte, de renseignement, d'information, consultatif, consultative
grid	réseau, grille
respective	respectif, respective
dive	plonger, plongeon
bleed	purger, déteindre, hémorragie, dépasser, saigner
prevail	l'emporter sur, convaincre  de faire, battre, prévaloir, prédominer,  être le plus important
shaft	baiser, hampe, cage d'ascenseur, puits, conduit, tige, entuber, mât, manche, rayon, rayon de lumière
insurer	assureur
retrieve	extraire, récupérer, récupérer
balcony	balcon
token	jeton, marque, symbolique
secretly	en son for intérieur, en secret, en cachette
mighty	super, puissant
niece	nièce
dentist	le dentiste, la dentiste, dentiste
combat	treillis, combat, combattre
renewal	reprise, renouvellement, rénovation
redeem	échanger, échanger  contre, récupérer, racheter
embryo	idée à l'état embryonnaire, embryon
sincerely	cordialement, sincèrement
Arabia	péninsule d'Arabie
trivial	futile, sans intérêt, banal, insignifiant
frog	grenouille, hausse, Français, Française
kindergarten	école maternelle, maternelle
voltage	tension
compensate	indemniser  pour , dédommager  de, indemniser, dédommager, se faire pardonner d'avoir fait, compenser, contrebalancer
rating	note, classification, audimat, 18 rating : interdit aux moins de 18 ans
invade	envahir, violer
cafe	cafétéria, café
bothered	préoccupé, préoccupé par, avoir envie (de faire ), avoir envie de faire
positively	de façon positive, de façon constructive, indéniablement, irréfutablement, absolument, par l'affirmative, positivement, véritablement
spectator	spectateur, spectatrice
summarise	résumer
uphold	faire respecter, maintenir, confirmer, maintenir
bang	frange, coup, marque, détonation, cogner, heurter, claquer, en plein
realm	domaine, royaume
glimpse	lueur, étincelle, aperçu, entrevoir, apercevoir
Malta	Malte
picnic	pique-nique
healthcare	relatif aux services de santé, services de santé
appreciation	goût, reconnaissance, apprécier, appréciation, revalorisation
bung	boucher, mettre, bouchon
headmaster	directeur (d'école)
adjective	adjectif, adjectival
legacy	héritage
anymore	(ne…) plus, de nos jours
technician	technicien, technicienne
faithful	fidèle, exact, fidèle, loyal, fidèle
preach	prêcher, faire la morale
query	requête, interrogation, question, mettre en doute
altar	autel
intermediate	intermédiaire, de niveau intermédiaire
potty	dingue, taré, cinglé, pot
courtyard	cour
cultivate	cultiver
privacy	intimité
annually	annuellement
specialty	spécialité
delete	supprimer, effacer, supprimer, Suppr
rug	tapis, couverture
partially	partiellement
beep	bip, klaxonner, bipper
repay	remercier  (de/pour ), rendre, rembourser
predominantly	majoritairement, principalement
Satan	Satan
grouping	groupe, rassemblement, groupement
beautifully	merveilleusement, merveilleusement, divinement, magnifiquement
badge	insigne, badge, un gage de, badge (scout)
nationally	nationalement
convenience	avantage
Uganda	Ouganda
authorise	autoriser, autoriser  à faire
aggression	agression contre, agression, agressivité
thrive	prospérer, bien se porter
skip	sauter, passer, sautiller, sauter à la corde, ne pas aller à, sautillement
kettle	chaudière, bouilloire, marmite
stain	tacher, teindre, lasurer, tache, teinture
fuss	difficultés, pataquès, histoires, tapage
exchange rate	taux de change
nephew	neveu
utterly	tout à fait, complètement
coup	coup d'État, joli coup
divert	divertir, amuser, dévier, réaffecter, distraire
recycle	recycler
monarchy	monarchie
discourage	décourager, démoraliser, dissuader  de faire, dissuader  (de faire )
payable	comptes fournisseurs, comptes créditeurs, rédigé  à l'ordre de, établi à l'ordre de, exigible, payable, payable
inclusion	inclusion, intégration
marine	marin
endeavour	entreprise, s'efforcer de faire, effort
honestly	franchement !, honnêtement, franchement, vraiment
referendum	référendum
bulletin	communiqué, bulletin d'informations
pastry	pâtisserie, viennoiserie, pâte
eligible	avoir le droit de vote, en droit de faire, éligible, convoité, avoir droit à
albeit	bien que
inherent	inhérent, intrinsèque
refuge	refuge, asile, abri, refuge, asile, refuge, abri
reconciliation	rapprochement, rapprochement bancaire, rapprochement comptable, réconciliation
endure	durer, perdurer, survivre, endurer
offering	don, cadeau, offrande
arena	stade, arène
babe	chéri, chérie, canon, bébé
philosophical	philosophique, philosophe
steering	conduite, direction
idiot	idiot, idiote
descendant	descendant, descendante
rebuild	restaurer, rétablir, restructurer, réorganiser, reconstruire
logo	logo
publishing	d'édition, édition
morally	moralement
noticeable	visible, notable, visible
applied	appliqué
philosopher	philosophe
racist	raciste
shrub	arbuste
allegedly	prétendument
dispatch	expédier, envoyer, tuer, abattre, expédier  à , envoyer  à, envoyer  faire
deliberate	mûrement réfléchi, bien pesé, circonspect, délibérer, étudier, délibéré
scrap	ferraille, (petit) bout, déchets
notorious	tristement célèbre
compile	dresser
therapist	thérapeute
portable	portable, transportable, portable
insufficient	insuffisant
exaggerate	exagérer, amplifier, exagérer
wax	cirer, croître, épiler  à la cire, cire, encaustique, cire
preferred	préféré
viewpoint	point de vue
audit	contrôler, auditer, contrôle, révision, vérification, audit
sovereignty	État souverain, souveraineté
boxing	boxe, de boxe
applause	applaudissements
protocol	protocole d'accord, protocole
Olympics	Jeux olympiques, de l'Olympe, olympique
conform	se conformer, se conformer à, être conforme (à)
matrix	matrice
offspring	petit, progéniture, descendance
valve	valvule, valve, valve, soupape, valve
intake	entrée (d'air), consommation, inhalation, inspiration, admission, quantité (ingérée)
mat	tapis, petit tapis, paillasson
harmony	harmonie
retreat	se replier, refuge, retraite
whisky	whisky
consolidate	consolider, fusionner
repeated	répété, récurrent
offset	compenser  par, compensation, à l'écart, presse offset, offset, contrebalancer, compenser
retailer	détaillant, détaillante
appraisal	évaluation, évaluation, estimation, appréciation, évaluation, appréciation, évaluation, estimation
vaccine	vaccin
ash	frêne, cendres volcaniques, cendré, cendres
mercy	clémence, compassion, indulgence, pitié
curiosity	curiosité
deploy	déployer
weaken	faiblir, affaiblir, fragiliser, s'affaiblir, affaiblir
meaningful	significatif, significative
bulb	tête, ampoule, bulbe, oignon, bulbe, poire
merge	se rejoindre, fusionner  et, fusionner, fusionner en, se joindre à, fusionner  et  en
litter	détritus, déchets, jeter des détritus dans/sur, jeter des déchets dans/sur, jeter des détritus, jeter des déchets, portée, litière, civière
retention	rétention, mémoire, conservation
guardian	tuteur, tutrice
Buddhist	bouddhiste
solo	solo
telecommunications	de télécommunication, télécommunication
circulate	circuler, faire circuler
happily	gaiement, joyeusement, volontiers, heureusement
beating	raclée, correction, frapper, raclée, volée
prohibit	interdire à  de faire , défendre à  de faire, interdire, prohiber
bash	coup, cogner, frapper, fête, rentrer dans, descendre
wildly	frénétiquement, sauvagement, violemment, furieusement, extrêmement
continuation	continuation, prolongement, suite
embark	embarquer, s'embarquer dans
extensively	considérablement, beaucoup, en profondeur, en détail
jealous	jaloux, jalouse
vibrant	vivant, animé, vif, vive
deprive	priver  de
Buddhism	bouddhisme
stroll	se balader, petite promenade
photographic	photographique
debut	faire ses débuts, débuts, entrée dans le monde, premier, première
decree	décréter que, décret, décréter
preservation	protection, préservation
interference	ingérence, intrusion (dans les affaires des autres), interférence
outlet	prise (électrique, de courant), magasin d'usine, évacuer, écoulement, débouché, magasin, point de vente, évent
underwear	sous-vêtements
abundant	luxuriant, abondant
haul	prise, tirer, transporter
digger	pelleteuse, pelle mécanique, personne qui creuse
mainland	continental, continent
fake	faire semblant de faire, contrefaçon, simuler, contrefaire, imposteur, simuler, contrefaire, imiter, faux, fausse
gardening	jardinage
witch	sorcière, sorcier, sorcière
hatred	haine
embarrassing	embarrassant, gênant
handling	manipulation, manutention, frais de manutention, gestion, conduite
dip	diminuer, baisser, chuter, descendre, tremper, baignade, baisse, diminution, tremper  dans, pente, descente, sauce (froide)
habitat	habitat
indirectly	indirectement
mandate	mandat, ordre
overwhelming	irrésistible, accablant, écrasant, important
nuisance	pénible, ennuyeux, ennuyeuse
importantly	de manière importante, d'un ton important
accountability	responsabilité
underpin	étayer, étayer, soutenir
break out	éclater, sortir  de, s'évader, s'échapper,, avoir, apparaître, s'évader de , s'échapper de
tomb	tombe, la mort
irony	ironie
racism	racisme
stylish	chic, élégant, élégant
competent	compétent, qualifié, suffisant
breadth	largeur, largesse, ampleur
spark	vivacité, déclencher, une trace de, faire des étincelles, étincelle, opérateur radio, opératrice radio, électricien
suppress	censurer, réprimer, réprimer, retenir, contenir, refouler
browse	naviguer sur, naviguer (sur internet), regarder, coup d'œil, feuilleter
header	boutisse, en-tête, tête
sprout	chou de Bruxelles, pousser, germer, pousser comme des champignons, pousser (à ), germe
inability	incapacité
demolish	démolir, détruire, abattre, démolir, détruire, saper
